addr,name,owner,score,online,gps,sync,rewards_total,rewards_today,rewards_yesterday,rewards_24h,rewards_48h,rewards_7d,rewards_7d_prior,rewards_30d,rewards_30d_prior,rewards_90d,rewards_90d_prior,rewards_365d,rewards_365d_prior
11LWbbzC3NKcvN3xn8pVZjX1YjQxvetAgZZ7bPuHNXG7J5PNVjs,striped-macaroon-piranha,13MoQqy9ohg7kBza5mH128zwR8wr7kZsLSrBPqKQzz9sm3S1azp,0.0,online,-,99%,403516889756,129349958,1589341788,1718691746,3889427589,5652498360,366036963727,381780839232,16901160980,403369430810,115684090,403516889756,0
112NeHuzaLTAYLNxtNEkKb8661AZsxWSnYYUSRbyW33fG8EMxQ2T,striped-navy-badger,136AG65aeeUAthwnpCCrCHJWmR4bsY5H8GWP6TH91ep1pH3JbRd,0.0,online,-,99%,58791069487,69355395,1416954113,1486309508,2608789861,5510372381,5714845025,19962149217,10832214707,33002735348,17638993638,58791069487,0
11L8HgWr2aA6uWBipbfnMXQad3keKK5mSmEVWDCtj5unQohBtHZ,striped-peanut-griffin,13AjJif3s1kS9Uug8dBZtB8QdB2LngAerzGqc8bqaDDxcUcmSCC,0.0,online,-,99%,102315907634,0,1040484381,609256136,2905785941,4902266746,4646663429,24542147316,28477942272,64666489059,37634915843,102315907634,0
11uHcbD4JGTvXURdaxBkVcDqMK4rYseyPLYt6Dzo15yt3pUDjK,strong-brown-goose,14ZvqzyLuqRkZPEzhzT8tQ8Qgk91ErdhFt8eYA4vDmv4oZbgf3u,0.0,online,-,99%,246391748769,214281225,1332656461,1546937686,1797899878,6214735476,5506623938,29738394615,38574823887,111107329403,76324751748,246391748769,0
112Vm9rym8HU4VDBYnzifQ3y2NS9arND3hbwo9eTw6dDR5rJmTjp,strong-marigold-woodpecker,13nRUcvqLfcq1s3Yy7J9mJfwBpZR5utkbZ5T9iWZXiHcpZ19fFd,0.0,online,-,99%,33709218335,74970887,995056263,1070027150,3640007213,4372730543,5645062465,31822103295,529844016,33709218335,0,33709218335,0
112Lr2BAPnuksf7BnKmbGPUoBb9UrppXdZ6KzxvvhLgG5HDTwp1C,strong-metal-buffalo,13AjJif3s1kS9Uug8dBZtB8QdB2LngAerzGqc8bqaDDxcUcmSCC,0.0,online,-,99%,43296143685,3822063,136737844,140559907,400409525,1053808357,248101932,1718228636,1125130037,6982856224,36124027880,43296143685,0
1122NnWgPAS6jfpgBsAhmdCeCoXeanxnhNDjEk8rEfpmGmCos81i,strong-ocean-cobra,14F58GHtFg9U4QTHudEj6Cdi9Fs1apGYEzaZqfoiu5oDgdEG4rr,0.0,online,-,99%,11818653510,92853774,906085229,998939003,998939003,2682492065,2014453651,10393956467,1086109147,11818653510,0,11818653510,0
112VkY7Z5n19RsZ3Yqg6aMjLyrYP69xHWZ1Zz1tAY7hdzu8DJPZ,strong-shadow-pike,132poAo3WSAewzumJwCS4AGNKR5wHygPiCAC2EJbffbpFDdd5QN,0.0,online,-,99%,267440521384,289585206,2435769044,2725354250,2725354250,6233631622,5092614174,29617924216,44883229238,135144490394,130400352904,267440521384,0
11A9LnajvYrZbJaiF2RgxuMACufi9PbaWa6aL2LipyYBYiA7Hpq,strong-tweed-bee,131VkRsrWR1tKBYpu5LhCaYzrjaWzX7GK79CQMixzYV6kgLQ1J6,0.0,online,-,99%,96124742320,38173387,1907443358,1945616745,2664103184,7441397104,5172498737,41548877754,46361957557,95441061586,414167767,96124742320,0
11bUZP74A3jjN22SpQJAoktnAeU5Um6NWwbUbZgDZCvXnGecoKz,strong-vinyl-pike,13Ka2pN4dSBSV9o6DQVLFCzYRfHqtZszgDvm9kf4fUqnXdbk9fT,0.0,online,-,99%,12030110210,6168830,19086518,25255348,25255348,116499108,83355838,484096972,11037807914,12030110210,0,12030110210,0
11LmZdUgSn5Pwa8a2Q16EUDfyLutpDeQoUgzgerHJc73p8NTC3V,suave-boysenberry-raven,14jF6o775mdvRTiqeCfF8pgQ9imgEGiJYfb2wYCDUA3DD9a471f,0.0,online,-,99%,315328307890,68926477,1058491174,1127417651,1127417651,3514835222,3637596601,19842030799,18328898910,68412405896,132996169797,315328307890,0
1122L3Vj4uz6hu2ytkRaNXGpR6QLmyLbKd5ApBAiWZmbvJDdPDgq,suave-chiffon-iguana,14aRw5QQefHqDGFmEaicx6w4LNNdVS6r5ePeimtJxMJ5eVcbqn5,0.0,online,-,99%,252880023011,7422289,1485879386,1493301675,1493301675,2940440225,2757883308,13029852211,26752488789,57228547841,72720082313,250634127128,1639171720
112kpScmsX45KinxSCveB7Yz4Eypf3mBfuegvRQDp3v3gU52NK4P,suave-pebble-parrot,13mgPa9mXDqUf98Y8VvJrKtKeWiPqzT8LczD9jqNpZ5ifp1DrC1,0.0,online,-,99%,115141410936,106340867,1414044607,1520385474,1520385474,4630462300,222005157,4852467457,3311032214,26195923383,88643810499,115141410936,0
11k31C41e2fJpG19S6vYp9LXCpAhyVTw6zbfwYG35dHMt7w7K18,suave-pewter-bird,131VkRsrWR1tKBYpu5LhCaYzrjaWzX7GK79CQMixzYV6kgLQ1J6,0.0,online,-,99%,320235439663,53945717,1614492358,1668438075,2237490149,5447063831,7347895954,27275616176,46192911639,118991401635,87848629082,320235439663,0
1125HV7a7dCWHQ4g4YidR9gLvfcdj6c5d9FWYjHL9PuAEn6PHYFN,suave-pine-hedgehog,14Y6r3ErGq2jUGo56TtndZpAvnxdxXd6rxsQvaMNbDPtoJd9nrJ,0.0,online,-,99%,115779012450,129903844,785283846,915187690,2351646265,11825394679,4559956036,31701836256,26469700978,85742684053,29728416190,115779012450,0
112StauVbY1o2czAYy8Vf2pTRP5cji4PiFcCKFpvxMA1KNf9KSJP,suave-sepia-ram,13TNcwXgrnmPSCcWPsNQNxtsUyVtP2K46TwLB8XAAYDsFda1KQ5,0.0,online,-,99%,84860791287,0,1481811376,1481811376,2064567747,6665166056,5868782701,28707760600,38146638185,84860791287,0,84860791287,0
112Kvkx4rTJiCz56DqajYShqbZ47DttgNpb32Zpp4StEuJWJTRAM,sunny-licorice-wasp,13Ka2pN4dSBSV9o6DQVLFCzYRfHqtZszgDvm9kf4fUqnXdbk9fT,0.0,online,-,99%,645730149391,62876455,2178141912,2214387423,3102036275,5203198263,568431528494,592411344855,19401434029,645730149391,0,645730149391,0
11wqv4YyyCp6LrTTfmvkEPZ1iGeqkMMcUjsRqxgy1SbphzZLqQD,sunny-opal-opossum,12xsqcJzDmp9ohY6dJVi31SALHkeHRm83LiUakccqhD3BpiGYKG,0.0,online,-,99%,44033802596,77089610,226618833,303708443,389771082,1037227910,403245384,6511878485,22307959996,44033802596,0,44033802596,0
1123qhG2z8mmwck3uXJzwcsHoCeqkCnVoDLY8Q14MY9XLdnaiMoy,sunny-wool-lemur,13Ka2pN4dSBSV9o6DQVLFCzYRfHqtZszgDvm9kf4fUqnXdbk9fT,0.0,online,-,99%,129401042639,106649100,1707832649,1814481749,3636983758,6129521651,11348138323,41780759372,47956400520,129401042639,0,129401042639,0
